职位链接,职位,公司,公司链接,相关性质,职责描述
https://jobs.zhaopin.com/CC157088922J00126865305.htm,java  ,java  , 深圳市拓保软件有限公司,10K-15K 深圳 3-5年 大专 民营  100-499人 ,14薪; 年底双薪; 绩效奖金; 通讯补助; 带薪年假; 【最新】
https://jobs.zhaopin.com/CC552159923J00224948801.htm,高级java工程师  ,高级java工程师  , 深圳市指尖飞扬科技有限公司,15K-25K 深圳 3-5年 本科 民营  20人以下 ,【最新】
https://jobs.zhaopin.com/CC169105213J00044818602.htm,java工程师  ,java工程师  , 深圳市思凯科技开发有限公司,8K-15K 深圳 1-3年 大专 民营  20-99人 ,五险一金; 绩效奖金; 餐补; 通讯补助; 带薪年假; 【最新】
https://jobs.zhaopin.com/CC157088922J00165045005.htm,java开发工程师  ,java开发工程师  , 深圳市拓保软件有限公司,10K-17K 深圳 1-3年 大专 民营  100-499人 ,【最新】
https://jobs.zhaopin.com/CC169105213J00069443502.htm,高级java工程师  ,高级java工程师  , 深圳市思凯科技开发有限公司,10K-20K 深圳 3-5年 本科 民营  20-99人 ,五险一金; 周末双休; 餐补; 通讯补助; 带薪年假; 【最新】
https://jobs.zhaopin.com/165211211250488.htm,高级java开发工程师  ,高级java开发工程师  , 深圳市康凯斯信息技术有限公司,15K-25K 深圳-宝安区 5-10年 本科 民营  100-499人 ,五险一金; 年底双薪; 绩效奖金; 带薪年假; 定期体检; 【最新】
https://jobs.zhaopin.com/148689767251356.htm,java开发工程师  ,java开发工程师  , 卓越置业集团有限公司,10K-15K 深圳 3-5年 本科 外商独资  1000-9999人 ,五险一金; 年底双薪; 加班补助; 交通补助; 餐补; 【最新】
https://jobs.zhaopin.com/349933914250129.htm,高级java开发工程师  ,高级java开发工程师  , 深圳恒合互联网络科技有限公司,15K-30K 深圳 5-10年 大专 股份制企业  100-499人 ,创业公司; 每年多次调薪; 五险一金; 股票期权; 带薪年假; 【最新】
https://jobs.zhaopin.com/CC165211211J00079414402.htm,java开发工程师  ,java开发工程师  , 深圳市康凯斯信息技术有限公司,10K-18K 深圳-宝安区 3-5年 本科 民营  100-499人 ,绩效奖金; 五险一金; 周末双休; 节日福利; 员工旅游; 【最新】
https://jobs.zhaopin.com/CZ738620440J00225813901.htm,java技术经理  ,java技术经理  , 深圳智扬信达信息技术有限公司,12.5K-25K 深圳 经验不限 本科 民营  100-499人 ,住房补贴; 周末双休; 五险一金; 年底双薪; 绩效奖金; 【最新】
https://jobs.zhaopin.com/562550032250017.htm,java开发工程师 [深圳]  ,java开发工程师 [深圳]  , 深圳市八斗才数据有限公司,10K-18K 深圳-南山区 1-3年 大专 民营  20-99人 ,五险一金; 绩效奖金; 带薪年假; 弹性工作; 补充医疗保险; 【最新】
https://jobs.zhaopin.com/562550032250010.htm,java软件开发工程师  ,java软件开发工程师  , 深圳市八斗才数据有限公司,10K-18K 深圳-南山区 1-3年 大专 民营  20-99人 ,五险一金; 补充医疗保险; 定期体检; 年底双薪; 绩效奖金; 【最新】
https://jobs.zhaopin.com/CC120230425J00068137812.htm,java开发工程师  ,java开发工程师  , 国 际 商 业 机 器 (中 国 )有 限 公 司,10K-15K 深圳 3-5年 本科 外商独资  1000-9999人 ,五险一金; 年底双薪; 周末双休; 定期体检; 补充医疗保险; 【最新】
https://jobs.zhaopin.com/000316040250065.htm,java开发工程师  ,java开发工程师  , 深圳市爱迪尔电子有限公司,10K-15K 深圳-南山区 3-5年 大专 民营  100-499人 ,节日福利; 不加班; 五险一金; 年底双薪; 年终分红; 【最新】
https://jobs.zhaopin.com/242379617250491.htm,java高级软件工程师  ,java高级软件工程师  , 亚联财小额贷款,15K-22K 深圳-福田区 3-5年 大专 合资  1000-9999人 ,五险一金; 年底双薪; 年终分红; 餐补; 带薪年假; 【最新】
https://jobs.zhaopin.com/CZ815461170J00101309006.htm,java工程师  ,java工程师  , 深圳市智造建筑信息科技有限公司,12K-18K 深圳 5-10年 大专 民营  20-99人 ,创业公司; 每年多次调薪; 员工旅游; 节日福利; 补充医疗保险; 【最新】
https://jobs.zhaopin.com/143447823258271.htm,java高级开发工程师  ,java高级开发工程师  , 中安信业创业投资有限公司,15K-22K 深圳-福田区 3-5年 本科 民营  1000-9999人 ,节日福利; 五险一金; 交通补助; 餐补; 带薪年假; 【最新】
